station_id,lat,lon,species,value,timestamp
5548,12.9135218,77.5950804,pm25,8.36,2019-07-16T18:45:00+00:00
5548,12.9135218,77.5950804,pm25,8.14,2019-07-16T19:00:00+00:00
5548,12.9135218,77.5950804,pm25,8.14,2019-07-16T19:15:00+00:00
5548,12.9135218,77.5950804,pm25,8.14,2019-07-16T19:30:00+00:00
5548,12.9135218,77.5950804,pm25,23.6,2019-07-16T19:45:00+00:00
5548,12.9135218,77.5950804,pm25,24.72,2019-07-16T20:00:00+00:00
5548,12.9135218,77.5950804,pm25,24.72,2019-07-16T20:15:00+00:00
5548,12.9135218,77.5950804,pm25,24.72,2019-07-16T20:30:00+00:00
5548,12.9135218,77.5950804,pm25,15.83,2019-07-16T20:45:00+00:00
5548,12.9135218,77.5950804,pm25,15.19,2019-07-16T21:00:00+00:00
5548,12.9135218,77.5950804,pm25,15.19,2019-07-16T21:15:00+00:00
5548,12.9135218,77.5950804,pm25,15.19,2019-07-16T21:30:00+00:00
5548,12.9135218,77.5950804,pm25,10.86,2019-07-16T21:45:00+00:00
5548,12.9135218,77.5950804,pm25,10.44,2019-07-16T22:00:00+00:00
5548,12.9135218,77.5950804,pm25,10.44,2019-07-16T22:15:00+00:00
5548,12.9135218,77.5950804,pm25,10.44,2019-07-16T22:30:00+00:00
5548,12.9135218,77.5950804,pm25,8.21,2019-07-16T22:45:00+00:00
5548,12.9135218,77.5950804,pm25,8.05,2019-07-16T23:00:00+00:00
5548,12.9135218,77.5950804,pm25,8.05,2019-07-16T23:15:00+00:00
5548,12.9135218,77.5950804,pm25,8.05,2019-07-16T23:30:00+00:00
5548,12.9135218,77.5950804,pm25,68.31,2019-07-16T23:45:00+00:00
5548,12.9135218,77.5950804,pm25,72.61,2019-07-17T00:00:00+00:00
5548,12.9135218,77.5950804,pm25,72.61,2019-07-17T00:15:00+00:00
5548,12.9135218,77.5950804,pm25,72.61,2019-07-17T00:30:00+00:00
5548,12.9135218,77.5950804,pm25,53.95,2019-07-17T00:45:00+00:00
5548,12.9135218,77.5950804,pm25,52.6,2019-07-17T01:00:00+00:00
5548,12.9135218,77.5950804,pm25,52.6,2019-07-17T01:15:00+00:00
5548,12.9135218,77.5950804,pm25,52.6,2019-07-17T01:30:00+00:00
5548,12.9135218,77.5950804,pm25,54.74,2019-07-17T01:45:00+00:00
5548,12.9135218,77.5950804,pm25,54.93,2019-07-17T02:00:00+00:00
5548,12.9135218,77.5950804,pm25,54.93,2019-07-17T02:15:00+00:00
5548,12.9135218,77.5950804,pm25,54.93,2019-07-17T02:30:00+00:00
5548,12.9135218,77.5950804,pm25,40.47,2019-07-17T02:45:00+00:00
5548,12.9135218,77.5950804,pm25,39.25,2019-07-17T03:00:00+00:00
5548,12.9135218,77.5950804,pm25,39.25,2019-07-17T03:15:00+00:00
5548,12.9135218,77.5950804,pm25,39.25,2019-07-17T03:30:00+00:00
5548,12.9135218,77.5950804,pm25,29.46,2019-07-17T03:45:00+00:00
5548,12.9135218,77.5950804,pm25,28.63,2019-07-17T04:00:00+00:00
5548,12.9135218,77.5950804,pm25,28.63,2019-07-17T04:15:00+00:00
5548,12.9135218,77.5950804,pm25,28.63,2019-07-17T04:30:00+00:00
5548,12.9135218,77.5950804,pm25,34.62,2019-07-17T04:45:00+00:00
5548,12.9135218,77.5950804,pm25,35.13,2019-07-17T05:00:00+00:00
5548,12.9135218,77.5950804,pm25,35.13,2019-07-17T05:15:00+00:00
5548,12.9135218,77.5950804,pm25,35.13,2019-07-17T05:30:00+00:00
5548,12.9135218,77.5950804,pm25,46.9,2019-07-17T05:45:00+00:00
5548,12.9135218,77.5950804,pm25,47.89,2019-07-17T06:00:00+00:00
5548,12.9135218,77.5950804,pm25,47.89,2019-07-17T06:15:00+00:00
5548,12.9135218,77.5950804,pm25,47.89,2019-07-17T06:30:00+00:00
5548,12.9135218,77.5950804,pm25,33.58,2019-07-17T06:45:00+00:00
5548,12.9135218,77.5950804,pm25,32.56,2019-07-17T07:00:00+00:00
5548,12.9135218,77.5950804,pm25,32.56,2019-07-17T07:15:00+00:00
5548,12.9135218,77.5950804,pm25,32.56,2019-07-17T07:30:00+00:00
5548,12.9135218,77.5950804,pm25,49.78,2019-07-17T07:45:00+00:00
5548,12.9135218,77.5950804,pm25,51.24,2019-07-17T08:00:00+00:00
5548,12.9135218,77.5950804,pm25,51.24,2019-07-17T08:15:00+00:00
5548,12.9135218,77.5950804,pm25,51.24,2019-07-17T08:30:00+00:00
5548,12.9135218,77.5950804,pm25,31.01,2019-07-17T08:45:00+00:00
