station_id,lat,lon,species,value,timestamp
6983,12.938539,77.5901,pm10,12.0,2019-07-09T18:45:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T19:00:00+00:00
6983,12.938539,77.5901,pm10,11.0,2019-07-09T19:15:00+00:00
6983,12.938539,77.5901,pm10,11.0,2019-07-09T19:30:00+00:00
6983,12.938539,77.5901,pm10,11.0,2019-07-09T19:45:00+00:00
6983,12.938539,77.5901,pm10,11.0,2019-07-09T20:00:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T20:15:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T20:30:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T20:45:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T21:00:00+00:00
6983,12.938539,77.5901,pm10,14.0,2019-07-09T21:15:00+00:00
6983,12.938539,77.5901,pm10,14.0,2019-07-09T21:30:00+00:00
6983,12.938539,77.5901,pm10,14.0,2019-07-09T21:45:00+00:00
6983,12.938539,77.5901,pm10,14.0,2019-07-09T22:00:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T22:15:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T22:30:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T22:45:00+00:00
6983,12.938539,77.5901,pm10,12.0,2019-07-09T23:00:00+00:00
6983,12.938539,77.5901,pm10,15.0,2019-07-09T23:15:00+00:00
6983,12.938539,77.5901,pm10,15.0,2019-07-09T23:30:00+00:00
6983,12.938539,77.5901,pm10,15.0,2019-07-09T23:45:00+00:00
6983,12.938539,77.5901,pm10,15.0,2019-07-10T00:00:00+00:00
6983,12.938539,77.5901,pm10,16.0,2019-07-10T00:15:00+00:00
6983,12.938539,77.5901,pm10,16.0,2019-07-10T00:30:00+00:00
6983,12.938539,77.5901,pm10,16.0,2019-07-10T00:45:00+00:00
6983,12.938539,77.5901,pm10,16.0,2019-07-10T01:00:00+00:00
6983,12.938539,77.5901,pm10,31.0,2019-07-10T01:15:00+00:00
6983,12.938539,77.5901,pm10,31.0,2019-07-10T01:30:00+00:00
6983,12.938539,77.5901,pm10,31.0,2019-07-10T01:45:00+00:00
6983,12.938539,77.5901,pm10,31.0,2019-07-10T02:00:00+00:00
6983,12.938539,77.5901,pm10,32.0,2019-07-10T02:15:00+00:00
6983,12.938539,77.5901,pm10,32.0,2019-07-10T02:30:00+00:00
6983,12.938539,77.5901,pm10,32.0,2019-07-10T02:45:00+00:00
6983,12.938539,77.5901,pm10,32.0,2019-07-10T03:00:00+00:00
6983,12.938539,77.5901,pm10,75.0,2019-07-10T03:15:00+00:00
6983,12.938539,77.5901,pm10,75.0,2019-07-10T03:30:00+00:00
6983,12.938539,77.5901,pm10,75.0,2019-07-10T03:45:00+00:00
6983,12.938539,77.5901,pm10,75.0,2019-07-10T04:00:00+00:00
6983,12.938539,77.5901,pm10,28.0,2019-07-10T04:15:00+00:00
6983,12.938539,77.5901,pm10,28.0,2019-07-10T04:30:00+00:00
6983,12.938539,77.5901,pm10,28.0,2019-07-10T04:45:00+00:00
6983,12.938539,77.5901,pm10,28.0,2019-07-10T05:00:00+00:00
6983,12.938539,77.5901,pm10,36.0,2019-07-10T05:15:00+00:00
6983,12.938539,77.5901,pm10,36.0,2019-07-10T05:30:00+00:00
6983,12.938539,77.5901,pm10,36.0,2019-07-10T05:45:00+00:00
6983,12.938539,77.5901,pm10,36.0,2019-07-10T06:00:00+00:00
6983,12.938539,77.5901,pm10,38.0,2019-07-10T06:15:00+00:00
6983,12.938539,77.5901,pm10,38.0,2019-07-10T06:30:00+00:00
6983,12.938539,77.5901,pm10,38.0,2019-07-10T06:45:00+00:00
6983,12.938539,77.5901,pm10,38.0,2019-07-10T07:00:00+00:00
6983,12.938539,77.5901,pm10,35.0,2019-07-10T07:15:00+00:00
6983,12.938539,77.5901,pm10,35.0,2019-07-10T07:30:00+00:00
6983,12.938539,77.5901,pm10,35.0,2019-07-10T07:45:00+00:00
6983,12.938539,77.5901,pm10,35.0,2019-07-10T08:00:00+00:00
6983,12.938539,77.5901,pm10,42.0,2019-07-10T08:15:00+00:00
